most_ads_day,most_ads_hour,test_group,users,conversions,conversion_rate,conversion_rate_pct
Tuesday,5,ad,76,1,0.013157894736842105,1.3157894736842104
Tuesday,6,ad,221,5,0.02262443438914027,2.262443438914027
Tuesday,6,psa,4,0,0.0,0.0
Tuesday,7,ad,729,16,0.02194787379972565,2.194787379972565
Tuesday,7,psa,22,0,0.0,0.0
Tuesday,8,ad,2412,44,0.01824212271973466,1.8242122719734661
Tuesday,8,psa,99,0,0.0,0.0
Tuesday,9,ad,4440,105,0.02364864864864865,2.364864864864865
Tuesday,9,psa,183,2,0.01092896174863388,1.092896174863388
Tuesday,10,ad,5773,122,0.021132859864888272,2.1132859864888274
Tuesday,10,psa,233,4,0.017167381974248927,1.7167381974248928
Tuesday,11,ad,6481,176,0.027156303039654373,2.7156303039654373
Tuesday,11,psa,361,2,0.00554016620498615,0.554016620498615
Tuesday,12,ad,6588,205,0.03111718275652702,3.1117182756527018
Tuesday,12,psa,273,3,0.01098901098901099,1.098901098901099
Tuesday,13,ad,6491,210,0.03235248806039131,3.235248806039131
Tuesday,13,psa,306,3,0.00980392156862745,0.9803921568627451
Tuesday,14,ad,6371,230,0.036101083032490974,3.6101083032490973
Tuesday,14,psa,247,3,0.012145748987854251,1.214574898785425
Tuesday,15,ad,5656,233,0.041195190947666195,4.11951909476662
Tuesday,15,psa,216,4,0.018518518518518517,1.8518518518518516
Tuesday,16,ad,4103,187,0.045576407506702415,4.557640750670242
Tuesday,16,psa,159,6,0.03773584905660377,3.7735849056603774
Tuesday,17,ad,4084,144,0.03525954946131244,3.525954946131244
Tuesday,17,psa,160,1,0.00625,0.625
Tuesday,18,ad,3621,131,0.036177851422259044,3.6177851422259044
Tuesday,18,psa,120,4,0.03333333333333333,3.3333333333333335
Tuesday,19,ad,3298,94,0.02850212249848393,2.850212249848393
Tuesday,19,psa,90,1,0.011111111111111112,1.1111111111111112
Tuesday,20,ad,3397,92,0.027082720047100384,2.7082720047100386
Tuesday,20,psa,90,2,0.022222222222222223,2.2222222222222223
Tuesday,21,ad,3898,93,0.023858388917393534,2.3858388917393536
Tuesday,21,psa,145,4,0.027586206896551724,2.7586206896551726
Tuesday,22,ad,2639,91,0.034482758620689655,3.4482758620689653
Tuesday,22,psa,99,1,0.010101010101010102,1.0101010101010102
Tuesday,23,ad,1785,55,0.03081232492997199,3.081232492997199
Tuesday,23,psa,29,1,0.034482758620689655,3.4482758620689653
Wednesday,0,ad,588,7,0.011904761904761904,1.1904761904761905
Wednesday,0,psa,10,0,0.0,0.0
Wednesday,1,ad,596,5,0.008389261744966443,0.8389261744966443
Wednesday,1,psa,12,0,0.0,0.0
Wednesday,2,ad,619,3,0.004846526655896607,0.48465266558966075
Wednesday,2,psa,20,0,0.0,0.0
Wednesday,3,ad,330,1,0.0030303030303030303,0.30303030303030304
Wednesday,3,psa,8,0,0.0,0.0
Wednesday,4,ad,100,2,0.02,2.0
Wednesday,4,psa,2,0,0.0,0.0
Wednesday,5,ad,140,1,0.007142857142857143,0.7142857142857143
Wednesday,5,psa,3,0,0.0,0.0
Wednesday,6,ad,358,5,0.013966480446927373,1.3966480446927374
Wednesday,6,psa,7,0,0.0,0.0
Wednesday,7,ad,840,10,0.011904761904761904,1.1904761904761905
Wednesday,7,psa,17,0,0.0,0.0
Wednesday,8,ad,2287,38,0.016615653694796676,1.6615653694796677
Wednesday,8,psa,64,0,0.0,0.0
Wednesday,9,ad,4625,79,0.01708108108108108,1.708108108108108
Wednesday,9,psa,154,1,0.006493506493506494,0.6493506493506493
Wednesday,10,ad,5812,148,0.025464556090846524,2.5464556090846524
Wednesday,10,psa,166,1,0.006024096385542169,0.6024096385542169
